id,auteur,titre,date,genre,inspiration,structure,type,periode,taille,permalien
DURYER_ANAXANDRE_1655,"DU RYER, Pierre",ANAXANDRE. TRAGI-COMÉDIE.,1655,Tragi-comédie,mythe grec,Cinq actes,vers,1651-1660,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k838325
LACALPRENEDE_MORTMITRHIDATE_1637,"LA CALPRENEDE, Gautier Costes de","LA MORT DE MITRIDATE, TRAGÉDIE",1637,Tragédie,histoire romaine,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k72745s
LACALPRENEDE_BRADAMANTE_1637,"LA CALPRENEDE, Gautier Costes de","LA BRADAMANTE, TRAGI-COMÉDIE.",1637,Tragi-comédie,histoire médiévale,Cinq actes,vers,1631-1640,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k72748t
LACALPRENEDE_CLARIONTE_1637,"LA CALPRENEDE, Gautier Costes de","LE CLARIONTE OU LE SACRIFICE SANGLANT, TRAGI-COMÉDIE. ",1637,Tragi-comédie,histoire médiévale,Cinq actes,vers,1631-1640,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k71959s
LACALPRENEDE_JEANNE_1638,"LA CALPRENEDE, Gautier Costes de","JEANNE, REINE D'ANGLETERRE. TRAGÉDIE.",1638,Tragédie,histoire anglaise,Cinq actes,vers,1631-1640,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k109771m
LACALPRENEDE_ENFANTSDHERODE_1639,"LA CALPRENEDE, Gautier Costes de","LA MORT DES ENFANTS D'HÉRODE OU SUITE DE MARIANE , TRAGÉDIE.",1639,Tragédie,histoire romaine,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k716009
LACALPRENEDE_EDOUARD_1640,"LA CALPRENEDE, Gautier Costes de","ÉDOUARD, TRAGI-COMÉDIE.",1640,Tragi-comédie,histoire anglaise,Cinq actes,vers,1631-1640,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k71598k
LACALPRENEDE_PHALANTE_1642,"LA CALPRENEDE, Gautier Costes de","PAHLANTE, TRAGÉDIE",1642,Tragédie,mythe grec,Cinq actes,vers,1641-1650,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k1097720
LACALPRENEDE_HERMENEGILDE_1644,"LA CALPRENEDE, Gautier Costes de","HERMÉNÉGILDE, TRAGÉDIE.",1644,Tragédie,histoire chrétienne,Cinq actes,prose,1641-1650,(mesure non pertinente),
LACALPRENEDE_COMTEDESSEX_1654,"LA CALPRENEDE, Gautier Costes de","LE COMTE D'ESSEX, TRAGÉDIE.",1654,Tragédie,histoire anglaise,Cinq actes,vers,1631-1640,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k72309t
MARESCHALA_GENEREUSEALLEMANDE_1630,"MARESCHAL, André","LA GÉNÉREUSE ALLEMANDE OU LE TRIOMPHE D'AMOUR, PROPHÉTIE.",1630,Tragi-comédie,histoire européenne,Cinq actes,vers,1621-1630,2000-2250,
MARESCHALA_GENEREUSEALLEMANDE2_1631,"MARESCHAL, André","LA GÉNÉREUSE ALLEMANDE OU LE TRIOMPHE D'AMOUR, PROPHÉTIE.",1631,Tragi-comédie,histoire européenne,Cinq actes,vers,1631-1640,2250-2500,http://gallica.bnf.fr/ark:/12148/bpt6k6363209x/f2
MARESCHALA_SOEURVALEUREUSE_1634,"MARESCHAL, André","LA SOEUR VALEUREUSE OU L'AVEUGLE AMANTE, TRAGICOMÉDIE.",1634,Tragi-comédie,moeurs orientales,Cinq actes,vers,1631-1640,2250-2500,http://gallica.bnf.fr/ark:/12148/bpt6k8405564
MARESCHALA_INCONSTANCEDHYLAS_1635,"MARESCHAL, André","L'INCONSTANCE D'HYLAS, TRAGI-COMÉDIE.",1635,Tragi-comédie,mythe grec,Cinq actes,vers,1621-1630,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k739071
MARESCHALA_RAILLEUR_1638,"MARESCHAL, André","LE RAILLEUR, OU LA SATYRE DU TEMPS.",1638,Comédie,moeurs françaises,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k6255892m
MARESCHALA_VERITABLECAPITAINEMATAMORE_1640,"MARESCHAL, André","LE VÉRITABLE CAPITAN MATAMORE OU LE FANFARON, COMÉDIE.",1640,Comédie,moeurs françaises,Cinq actes,vers,1641-1650,1500-1750,
